Thread  	Address                 	Instruction                     	Result                                  	
000001DC	kernel32.dll:sub_7C872901+216	or      dword ptr [ebp-4], 0FFFFFFFFh	SF=1                                    	
000001DC	kernel32.dll:sub_7C872901+21A	xor     edi, edi                	EDI=00000000 ZF=1 SF=0                  	
000001DC	kernel32.dll:sub_7C872901:loc_7C872B1D	cmp     [ebp-0C0h], edi         	ZF=0                                    	
000001DC	kernel32.dll:sub_7C872901+222	jz      short loc_7C872B31      	                                        	
000001DC	kernel32.dll:sub_7C872901+224	push    dword ptr [ebp-0C0h]    	ESP=0012FD00                            	
000001DC	kernel32.dll:sub_7C872901+22A	call    off_7C8011DC            	ESP=0012FCFC                            	
000001DC	ntdll.dll:ntdll_CsrFreeCaptureBuffer	mov     edi, edi                	                                        	
000001DC	ntdll.dll:ntdll_CsrFreeCaptureBuffer+2	push    ebp                     	ESP=0012FCF8                            	
000001DC	ntdll.dll:ntdll_CsrFreeCaptureBuffer+3	mov     ebp, esp                	EBP=0012FCF8                            	
000001DC	ntdll.dll:ntdll_CsrFreeCaptureBuffer+5	push    [ebp+arg_0]             	ESP=0012FCF4                            	
000001DC	ntdll.dll:ntdll_CsrFreeCaptureBuffer+8	push    0                       	ESP=0012FCF0                            	
000001DC	ntdll.dll:ntdll_CsrFreeCaptureBuffer+A	push    off_7C97F110            	ESP=0012FCEC                            	
000001DC	ntdll.dll:ntdll_CsrFreeCaptureBuffer+10	call    ntdll_RtlFreeHeap       	ESP=0012FCE8                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap	push    0A0h                    	ESP=0012FCE4                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+5	push    offset unk_7C910060     	ESP=0012FCE0                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+A	call    sub_7C90E8CB            	ESP=0012FCDC                            	
000001DC	ntdll.dll:sub_7C90E8CB  	push    offset sub_7C90E920     	ESP=0012FCD8                            	
000001DC	ntdll.dll:sub_7C90E8CB+5	mov     eax, large fs:0         	EAX=0012FDD8                            	
000001DC	ntdll.dll:sub_7C90E8CB+B	push    eax                     	ESP=0012FCD4                            	
000001DC	ntdll.dll:sub_7C90E8CB+C	mov     eax, [esp+8+arg_4]      	EAX=000000A0                            	
000001DC	ntdll.dll:sub_7C90E8CB+10	mov     [esp+8+arg_4], ebp      	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+14	lea     ebp, [esp+8+arg_4]      	EBP=0012FCE4                            	
000001DC	ntdll.dll:sub_7C90E8CB+18	sub     esp, eax                	ESP=0012FC34 PF=0                       	
000001DC	ntdll.dll:sub_7C90E8CB+1A	push    ebx                     	ESP=0012FC30                            	
000001DC	ntdll.dll:sub_7C90E8CB+1B	push    esi                     	ESP=0012FC2C                            	
000001DC	ntdll.dll:sub_7C90E8CB+1C	push    edi                     	ESP=0012FC28                            	
000001DC	ntdll.dll:sub_7C90E8CB+1D	mov     eax, [ebp-8]            	EAX=7C90FF3C                            	
000001DC	ntdll.dll:sub_7C90E8CB+20	mov     [ebp-18h], esp          	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+23	push    eax                     	ESP=0012FC24                            	
000001DC	ntdll.dll:sub_7C90E8CB+24	mov     eax, [ebp-4]            	EAX=7C910060                            	
000001DC	ntdll.dll:sub_7C90E8CB+27	mov     dword ptr [ebp-4], 0FFFFFFFFh	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+2E	mov     [ebp-8], eax            	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+31	lea     eax, [ebp-10h]          	EAX=0012FCD4                            	
000001DC	ntdll.dll:sub_7C90E8CB+34	mov     large fs:0, eax         	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+3A	retn                            	ESP=0012FC28                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+F	mov     edi, [ebp+8]            	EDI=00250000                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+12	mov     [ebp-38h], edi          	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+15	xor     ebx, ebx                	PF=1 ZF=1                               	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+17	mov     [ebp-1Dh], bl           	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+1A	mov     byte ptr [ebp-1Eh], 1   	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+1E	mov     esi, [ebp+10h]          	ESI=00250688                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+21	cmp     esi, ebx                	ZF=0                                    	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+23	jz      loc_7C910056            	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+29	cmp     byte ptr [edi+586h], 2  	CF=1 PF=0 AF=1 SF=1                     	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+30	jz      loc_7C936DA0            	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+36	xor     ecx, ecx                	CF=0 PF=1 AF=0 ZF=1 SF=0                	
000001DC	ntdll.dll:ntdll_RtlFreeHeap:loc_7C90FF65	cmp     ecx, ebx                	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+3A	jnz     loc_7C936DAB            	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap:loc_7C90FF6D	mov     ebx, [ebp+0Ch]          	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+43	or      ebx, [edi+10h]          	EBX=40000060 ZF=0                       	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+46	test    ebx, 7D030F60h          	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+4C	jnz     loc_7C91A1B0            	                                        	
000001DC	ntdll.dll:ntdll_RtlFreeHeap:loc_7C91A1B0	push    dword ptr [ebp+10h]     	ESP=0012FC24                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+A286	push    ebx                     	ESP=0012FC20                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+A287	push    edi                     	ESP=0012FC1C                            	
000001DC	ntdll.dll:ntdll_RtlFreeHeap+A288	call    sub_7C91A1C4            	ESP=0012FC18                            	
000001DC	ntdll.dll:sub_7C91A1C4  	push    0B8h                    	ESP=0012FC14                            	
000001DC	ntdll.dll:sub_7C91A1C4+5	push    offset unk_7C91A3D0     	ESP=0012FC10                            	
000001DC	ntdll.dll:sub_7C91A1C4+A	call    sub_7C90E8CB            	ESP=0012FC0C                            	
000001DC	ntdll.dll:sub_7C90E8CB  	push    offset sub_7C90E920     	ESP=0012FC08                            	
000001DC	ntdll.dll:sub_7C90E8CB+5	mov     eax, large fs:0         	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+B	push    eax                     	ESP=0012FC04                            	
000001DC	ntdll.dll:sub_7C90E8CB+C	mov     eax, [esp+8+arg_4]      	EAX=000000B8                            	
000001DC	ntdll.dll:sub_7C90E8CB+10	mov     [esp+8+arg_4], ebp      	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+14	lea     ebp, [esp+8+arg_4]      	EBP=0012FC14                            	
000001DC	ntdll.dll:sub_7C90E8CB+18	sub     esp, eax                	ESP=0012FB4C PF=0 AF=1                  	
000001DC	ntdll.dll:sub_7C90E8CB+1A	push    ebx                     	ESP=0012FB48                            	
000001DC	ntdll.dll:sub_7C90E8CB+1B	push    esi                     	ESP=0012FB44                            	
000001DC	ntdll.dll:sub_7C90E8CB+1C	push    edi                     	ESP=0012FB40                            	
000001DC	ntdll.dll:sub_7C90E8CB+1D	mov     eax, [ebp-8]            	EAX=7C91A1D3                            	
000001DC	ntdll.dll:sub_7C90E8CB+20	mov     [ebp-18h], esp          	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+23	push    eax                     	ESP=0012FB3C                            	
000001DC	ntdll.dll:sub_7C90E8CB+24	mov     eax, [ebp-4]            	EAX=7C91A3D0                            	
000001DC	ntdll.dll:sub_7C90E8CB+27	mov     dword ptr [ebp-4], 0FFFFFFFFh	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+2E	mov     [ebp-8], eax            	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+31	lea     eax, [ebp-10h]          	EAX=0012FC04                            	
000001DC	ntdll.dll:sub_7C90E8CB+34	mov     large fs:0, eax         	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+3A	retn                            	ESP=0012FB40                            	
000001DC	ntdll.dll:sub_7C91A1C4+F	mov     edi, [ebp+8]            	                                        	
000001DC	ntdll.dll:sub_7C91A1C4+12	mov     [ebp-38h], edi          	                                        	
000001DC	ntdll.dll:sub_7C91A1C4+15	xor     edx, edx                	EDX=00000000 PF=1 AF=0 ZF=1             	
000001DC	ntdll.dll:sub_7C91A1C4+17	mov     [ebp-1Eh], dl           	                                        	
000001DC	ntdll.dll:sub_7C91A1C4+1A	mov     ebx, [ebp+0Ch]          	                                        	
000001DC	ntdll.dll:sub_7C91A1C4+1D	test    ebx, 69020000h          	ZF=0                                    	
000001DC	ntdll.dll:sub_7C91A1C4+23	jnz     loc_7C94BAE6            	                                        	
000001DC	ntdll.dll:sub_7C91A1C4:loc_7C94BAE6	test    ebx, 10000000h          	ZF=1                                    	
000001DC	ntdll.dll:sub_7C91A1C4+31928	jnz     loc_7C91A1ED            	                                        	
000001DC	ntdll.dll:sub_7C91A1C4+3192E	push    dword ptr [ebp+10h]     	ESP=0012FB3C                            	
000001DC	ntdll.dll:sub_7C91A1C4+31931	push    ebx                     	ESP=0012FB38                            	
000001DC	ntdll.dll:sub_7C91A1C4+31932	push    edi                     	ESP=0012FB34                            	
000001DC	ntdll.dll:sub_7C91A1C4+31933	call    sub_7C9703BF            	ESP=0012FB30                            	
000001DC	ntdll.dll:sub_7C9703BF  	push    44h                     	ESP=0012FB2C                            	
000001DC	ntdll.dll:sub_7C9703BF+2	push    offset unk_7C9705E8     	ESP=0012FB28                            	
000001DC	ntdll.dll:sub_7C9703BF+7	call    sub_7C90E8CB            	ESP=0012FB24                            	
000001DC	ntdll.dll:sub_7C90E8CB  	push    offset sub_7C90E920     	ESP=0012FB20                            	
000001DC	ntdll.dll:sub_7C90E8CB+5	mov     eax, large fs:0         	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+B	push    eax                     	ESP=0012FB1C                            	
000001DC	ntdll.dll:sub_7C90E8CB+C	mov     eax, [esp+8+arg_4]      	EAX=00000044                            	
000001DC	ntdll.dll:sub_7C90E8CB+10	mov     [esp+8+arg_4], ebp      	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+14	lea     ebp, [esp+8+arg_4]      	EBP=0012FB2C                            	
000001DC	ntdll.dll:sub_7C90E8CB+18	sub     esp, eax                	ESP=0012FAD8 ZF=0                       	
000001DC	ntdll.dll:sub_7C90E8CB+1A	push    ebx                     	ESP=0012FAD4                            	
000001DC	ntdll.dll:sub_7C90E8CB+1B	push    esi                     	ESP=0012FAD0                            	
000001DC	ntdll.dll:sub_7C90E8CB+1C	push    edi                     	ESP=0012FACC                            	
000001DC	ntdll.dll:sub_7C90E8CB+1D	mov     eax, [ebp-8]            	EAX=7C9703CB                            	
000001DC	ntdll.dll:sub_7C90E8CB+20	mov     [ebp-18h], esp          	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+23	push    eax                     	ESP=0012FAC8                            	
000001DC	ntdll.dll:sub_7C90E8CB+24	mov     eax, [ebp-4]            	EAX=7C9705E8                            	
000001DC	ntdll.dll:sub_7C90E8CB+27	mov     dword ptr [ebp-4], 0FFFFFFFFh	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+2E	mov     [ebp-8], eax            	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+31	lea     eax, [ebp-10h]          	EAX=0012FB1C                            	
000001DC	ntdll.dll:sub_7C90E8CB+34	mov     large fs:0, eax         	                                        	
000001DC	ntdll.dll:sub_7C90E8CB+3A	retn                            	ESP=0012FACC                            	
000001DC	ntdll.dll:sub_7C9703BF+C	mov     esi, [ebp+8]            	ESI=00250000                            	
000001DC	ntdll.dll:sub_7C9703BF+F	mov     [ebp-28h], esi          	                                        	
000001DC	ntdll.dll:sub_7C9703BF+12	mov     byte ptr [ebp-19h], 0   	                                        	
000001DC	ntdll.dll:sub_7C9703BF+16	mov     byte ptr [ebp-1Ah], 0   	                                        	
000001DC	ntdll.dll:sub_7C9703BF+1A	test    byte ptr [esi+13h], 1   	ZF=1                                    	
000001DC	ntdll.dll:sub_7C9703BF+1E	jz      short loc_7C9703F0      	                                        	
000001DC	ntdll.dll:sub_7C9703BF:loc_7C9703F0	and     dword ptr [ebp-4], 0    	                                        	
000001DC	ntdll.dll:sub_7C9703BF+35	xor     edi, edi                	EDI=00000000                            	
000001DC	ntdll.dll:sub_7C9703BF+37	inc     edi                     	EDI=00000001 PF=0 ZF=0                  	
000001DC	ntdll.dll:sub_7C9703BF+38	mov     [ebp-4], edi            	                                        	
000001DC	ntdll.dll:sub_7C9703BF+3B	push    offset aRtlfreeheap; \"RtlFreeHeap\"	ESP=0012FAC8                            	
000001DC	ntdll.dll:sub_7C9703BF+40	push    esi                     	ESP=0012FAC4                            	
000001DC	ntdll.dll:sub_7C9703BF+41	call    sub_7C913115            	ESP=0012FAC0                            	
000001DC	ntdll.dll:sub_7C913115  	mov     edi, edi                	                                        	
000001DC	ntdll.dll:sub_7C913115+2	push    ebp                     	ESP=0012FABC                            	
000001DC	ntdll.dll:sub_7C913115+3	mov     ebp, esp                	EBP=0012FABC                            	
000001DC	ntdll.dll:sub_7C913115+5	push    esi                     	ESP=0012FAB8                            	
000001DC	ntdll.dll:sub_7C913115+6	mov     esi, [ebp+arg_0]        	                                        	
000001DC	ntdll.dll:sub_7C913115+9	push    edi                     	ESP=0012FAB4                            	
000001DC	ntdll.dll:sub_7C913115+A	lea     edi, [esi+8]            	EDI=00250008                            	
000001DC	ntdll.dll:sub_7C913115+D	cmp     dword ptr [edi], 0EEFFEEFFh	PF=1 ZF=1                               	
000001DC	ntdll.dll:sub_7C913115+13	jnz     loc_7C94D471            	                                        	
000001DC	ntdll.dll:sub_7C913115+19	mov     al, 1                   	EAX=0012FB01                            	
000001DC	ntdll.dll:sub_7C913115:loc_7C913130	pop     edi                     	EDI=00000001 ESP=0012FAB8               	
000001DC	ntdll.dll:sub_7C913115+1C	pop     esi                     	ESP=0012FABC                            	
000001DC	ntdll.dll:sub_7C913115+1D	pop     ebp                     	EBP=0012FB2C ESP=0012FAC0               	
000001DC	ntdll.dll:sub_7C913115+1E	retn    8                       	ESP=0012FACC                            	
000001DC	ntdll.dll:sub_7C9703BF+46	test    al, al                  	PF=0 ZF=0                               	
000001DC	ntdll.dll:sub_7C9703BF+48	jz      loc_7C9705AB            	                                        	
000001DC	ntdll.dll:sub_7C9703BF+4E	mov     eax, [esi+10h]          	EAX=40000060                            	
000001DC	ntdll.dll:sub_7C9703BF+51	or      eax, 10000000h          	EAX=50000060 PF=1                       	
000001DC	ntdll.dll:sub_7C9703BF+56	or      [ebp+0Ch], eax          	                                        	
000001DC	ntdll.dll:sub_7C9703BF+59	test    byte ptr [ebp+0Ch], 1   	ZF=1                                    	
000001DC	ntdll.dll:sub_7C9703BF+5D	jnz     short loc_7C970430      	                                        	
000001DC	ntdll.dll:sub_7C9703BF+5F	push    dword ptr [esi+578h]    	ESP=0012FAC8                            	
000001DC	ntdll.dll:sub_7C9703BF+65	call    ntdll_RtlEnterCriticalSection	ESP=0012FAC4                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection	mov     ecx, large fs:18h       	ECX=7FFDD000                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+7	mov     edx, [esp+arg_0]        	EDX=00250608                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+B	cmp     dword ptr [edx+14h], 0  	ZF=0                                    	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+F	jnz     short loc_7C901060      	                                        	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection:loc_7C901060	mov     eax, [ecx+24h]          	EAX=000001DC                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+63	cmp     [edx+0Ch], eax          	CF=1 AF=1 SF=1                          	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+66	jnz     short loc_7C901080      	                                        	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection:loc_7C901080	push    dword ptr [edx+14h]     	ESP=0012FAC0                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection:loc_7C901083	mov     eax, 0FFFFFFFFh         	EAX=FFFFFFFF                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+88	mov     ecx, 0                  	ECX=00000000                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+8D	lock cmpxchg [edx+4], ecx       	CF=0 AF=0 ZF=1 SF=0                     	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+92	jnz     short loc_7C9010B0      	                                        	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+94	add     esp, 4                  	ESP=0012FAC4 PF=0 ZF=0                  	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+97	mov     ecx, large fs:18h       	ECX=7FFDD000                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+9E	mov     eax, [ecx+24h]          	EAX=000001DC                            	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+A1	mov     [edx+0Ch], eax          	                                        	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+A4	mov     dword ptr [edx+8], 1    	                                        	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+AB	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
000001DC	ntdll.dll:ntdll_RtlEnterCriticalSection+AD	retn    4                       	ESP=0012FACC                            	
000001DC	ntdll.dll:sub_7C9703BF+6A	mov     byte ptr [ebp-1Ah], 1   	                                        	
000001DC	ntdll.dll:sub_7C9703BF+6E	or      [ebp+0Ch], edi          	PF=0 ZF=0                               	
000001DC	ntdll.dll:sub_7C9703BF:loc_7C970430	push    0                       	ESP=0012FAC8                            	
000001DC	ntdll.dll:sub_7C9703BF+73	push    esi                     	ESP=0012FAC4                            	
000001DC	ntdll.dll:sub_7C9703BF+74	call    sub_7C96F2B7            	ESP=0012FAC0                            	
000001DC	ntdll.dll:sub_7C96F2B7  	mov     edi, edi                	                                        	
000001DC	ntdll.dll:sub_7C96F2B7+2	push    ebp                     	ESP=0012FABC                            	
000001DC	ntdll.dll:sub_7C96F2B7+3	mov     ebp, esp                	EBP=0012FABC                            	
000001DC	ntdll.dll:sub_7C96F2B7+5	sub     esp, 18h                	ESP=0012FAA4                            	
000001DC	ntdll.dll:sub_7C96F2B7+8	push    ebx                     	ESP=0012FAA0                            	
000001DC	ntdll.dll:sub_7C96F2B7+9	push    esi                     	ESP=0012FA9C                            	
000001DC	ntdll.dll:sub_7C96F2B7+A	push    edi                     	ESP=0012FA98                            	
000001DC	ntdll.dll:sub_7C96F2B7+B	mov     edi, [ebp+arg_0]        	EDI=00250000                            	
000001DC	ntdll.dll:sub_7C96F2B7+E	xor     esi, esi                	ESI=00000000 PF=1 ZF=1                  	
000001DC	ntdll.dll:sub_7C96F2B7+10	push    esi                     	ESP=0012FA94                            	
000001DC	ntdll.dll:sub_7C96F2B7+11	push    edi                     	ESP=0012FA90                            	
000001DC	ntdll.dll:sub_7C96F2B7+12	mov     [ebp+var_C], esi        	                                        	
000001DC	ntdll.dll:sub_7C96F2B7+15	mov     [ebp+var_4], esi        	                                        	
000001DC	ntdll.dll:sub_7C96F2B7+18	mov     [ebp+var_8], edi        	                                        	
000001DC	ntdll.dll:sub_7C96F2B7+1B	call    sub_7C96E5C1            	ESP=0012FA8C                            	
000001DC	ntdll.dll:sub_7C96E5C1  	mov     edi, edi                	                                        	
000001DC	ntdll.dll:sub_7C96E5C1+2	push    ebp                     	ESP=0012FA88                            	
000001DC	ntdll.dll:sub_7C96E5C1+3	mov     ebp, esp                	EBP=0012FA88                            	
000001DC	ntdll.dll:sub_7C96E5C1+5	push    ecx                     	ESP=0012FA84                            	
000001DC	ntdll.dll:sub_7C96E5C1+6	cmp     byte_7C981750, 0        	                                        	
000001DC	ntdll.dll:sub_7C96E5C1+D	jnz     short loc_7C96E5D7      	                                        	
000001DC	ntdll.dll:sub_7C96E5C1+F	mov     al, 1                   	EAX=00000001                            	
000001DC	ntdll.dll:sub_7C96E5C1+11	jmp     locret_7C96E6C0         	                                        	
000001DC	ntdll.dll:sub_7C96E5C1:locret_7C96E6C0	leave                           	EBP=0012FABC ESP=0012FA8C               	
000001DC	ntdll.dll:sub_7C96E5C1+100	retn    8                       	ESP=0012FA98                            	
000001DC	ntdll.dll:sub_7C96F2B7+20	test    al, al                  	PF=0 ZF=0                               	
000001DC	ntdll.dll:sub_7C96F2B7+22	jz      loc_7C96F6EE            	                                        	
000001DC	ntdll.dll:sub_7C96F2B7+28	cmp     byte ptr [ebp+arg_4], 0 	PF=1 ZF=1                               	
000001DC	ntdll.dll:sub_7C96F2B7+2C	jnz     short loc_7C96F2EF      	                                        	
000001DC	ntdll.dll:sub_7C96F2B7+2E	test    byte ptr [edi+0Fh], 20h 	                                        	
000001DC	ntdll.dll:sub_7C96F2B7+32	jz      loc_7C96F671            	                                        	
000001DC	ntdll.dll:sub_7C96F2B7:loc_7C96F671	mov     al, 1                   	                                        	
000001DC	ntdll.dll:sub_7C96F2B7:loc_7C96F673	pop     edi                     	EDI=00000001 ESP=0012FA9C               	
000001DC	ntdll.dll:sub_7C96F2B7+3BD	pop     esi                     	ESI=00250000 ESP=0012FAA0               	
000001DC	ntdll.dll:sub_7C96F2B7+3BE	pop     ebx                     	ESP=0012FAA4                            	
000001DC	ntdll.dll:sub_7C96F2B7+3BF	leave                           	EBP=0012FB2C ESP=0012FAC0               	
