0x0463	sub_401000(0000, 0000, 0467)	[00000000 : 00000000 : 66040000]	Reg: 
0x04CB	sub_401000(00a1, 0000, 0000)	[9d000000 : 00000000 : 00000000]	Reg: FFFFFF62
0x04CE	sub_401000(0000, 04ec, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009E
0x04D1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x04D4	sub_401000(0000, 04ed, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x04D7	sub_401000(00a1, 0000, 0000)	[9d000000 : 00000000 : 00000000]	Reg: FFFFFF62
0x04DA	sub_401000(0000, 04ed, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009E
0x04DD	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x04E0	sub_401000(0000, 04f3, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x04E3	sub_401000(00a1, 0000, 0000)	[9d000000 : 00000000 : 00000000]	Reg: FFFFFF62
0x04E6	sub_401000(0000, 04f3, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009E
0x04E9	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x04EC	sub_401000(0000, 009e, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x04EF	sub_401000(04b7, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFAF8
0x04F2	sub_401000(0000, 009e, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000508
0x04F5	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x04F8	sub_401000(0000, 0000, 04fc)	[00000000 : 00000000 : fb040000]	Reg: 
0x04FC	sub_401000(04fb, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x04FF	sub_401000(0000, 00a1, 0000)	[00000000 : 9d000000 : 00000000]	Reg: 0000009F
0x0502	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0505	sub_401000(0000, 0000, 0eae)	[00000000 : 00000000 : 00000000]	Reg: 
0x0EAE	sub_401000(0000, 0000, 0eb2)	[00000000 : 00000000 : b10e0000]	Reg: 
0x0EB2	sub_401000(0000, 0eb1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0EB5	sub_401000(00a1, 0000, 0000)	[9d000000 : 00000000 : 00000000]	Reg: FFFFFF61
0x0EB8	sub_401000(0000, 0eb1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009F
0x0EBB	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EBE	sub_401000(0000, 0000, 0ec2)	[00000000 : 00000000 : 00000000]	Reg: 
0x0EC2	sub_401000(0000, 0000, 0ec6)	[00000000 : 00000000 : 00000000]	Reg: 
0x0EC6	sub_401000(0000, 0000, 0eca)	[00000000 : 00000000 : c90e0000]	Reg: 
0x0ECA	sub_401000(0000, 0ec9, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0ECD	sub_401000(0ec5, 0000, 0000)	[feffffff : 00000000 : 00000000]	Reg: 00000002
0x0ED0	sub_401000(0000, 0ec9, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFFE
0x0ED3	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0ED6	sub_401000(0eb1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF61
0x0ED9	sub_401000(0000, 0ec9, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009D
0x0EDC	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EDF	sub_401000(0000, 0eee, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0EE2	sub_401000(0ec9, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF63
0x0EE5	sub_401000(0000, 0eee, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009D
0x0EE8	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EEB	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0EEE	sub_401000(009d, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFFB
0x0EF1	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000005
0x0EF4	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EF7	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFFB
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000005
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F0A	sub_401000(0005, 0000, 0000)	[57000000 : 00000000 : 00000000]	Reg: FFFFFFA9
0x0F0D	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000057
0x0F10	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F13	sub_401000(0efa, 0000, 0f19)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFA9
0x0F19	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F1C	sub_401000(0000, 0efa, 0f22)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F1F	sub_401000(0000, 0000, 0f25)	[00000000 : 00000000 : 02000000]	Reg: 
0x0F25	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F28	sub_401000(0efa, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFA9
0x0F2B	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000057
0x0F2E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F31	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F34	sub_401000(0f40, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F37	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000001
PRINTF
0x0F3A	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F3D	sub_401000(0000, 0000, 0f41)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F41	sub_401000(0000, 0000, 0f45)	[00000000 : 00000000 : 440f0000]	Reg: 
0x0F45	sub_401000(0f44, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F48	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000006
0x0F4B	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F4E	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFFA
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000006
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F0A	sub_401000(0006, 0000, 0000)	[65000000 : 00000000 : 00000000]	Reg: FFFFFF9B
0x0F0D	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000065
0x0F10	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F13	sub_401000(0efa, 0000, 0f19)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF9B
0x0F19	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F1C	sub_401000(0000, 0efa, 0f22)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F1F	sub_401000(0000, 0000, 0f25)	[00000000 : 00000000 : 02000000]	Reg: 
0x0F25	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F28	sub_401000(0efa, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF9B
0x0F2B	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000065
0x0F2E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F31	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F34	sub_401000(0f40, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F37	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000001
PRINTF
0x0F3A	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F3D	sub_401000(0000, 0000, 0f41)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F41	sub_401000(0000, 0000, 0f45)	[00000000 : 00000000 : 440f0000]	Reg: 
0x0F45	sub_401000(0f44, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F48	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000007
0x0F4B	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F4E	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFF9
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000007
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F0A	sub_401000(0007, 0000, 0000)	[6c000000 : 00000000 : 00000000]	Reg: FFFFFF94
0x0F0D	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000006C
0x0F10	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F13	sub_401000(0efa, 0000, 0f19)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF94
0x0F19	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F1C	sub_401000(0000, 0efa, 0f22)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F1F	sub_401000(0000, 0000, 0f25)	[00000000 : 00000000 : 02000000]	Reg: 
0x0F25	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F28	sub_401000(0efa, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF94
0x0F2B	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000006C
0x0F2E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F31	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F34	sub_401000(0f40, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F37	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000001
PRINTF
0x0F3A	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F3D	sub_401000(0000, 0000, 0f41)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F41	sub_401000(0000, 0000, 0f45)	[00000000 : 00000000 : 440f0000]	Reg: 
0x0F45	sub_401000(0f44, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F48	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000008
0x0F4B	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F4E	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFF8
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000008
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F0A	sub_401000(0008, 0000, 0000)	[63000000 : 00000000 : 00000000]	Reg: FFFFFF9D
0x0F0D	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000063
0x0F10	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F13	sub_401000(0efa, 0000, 0f19)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF9D
0x0F19	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F1C	sub_401000(0000, 0efa, 0f22)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F1F	sub_401000(0000, 0000, 0f25)	[00000000 : 00000000 : 02000000]	Reg: 
0x0F25	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F28	sub_401000(0efa, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF9D
0x0F2B	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000063
0x0F2E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F31	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F34	sub_401000(0f40, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F37	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000001
PRINTF
0x0F3A	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F3D	sub_401000(0000, 0000, 0f41)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F41	sub_401000(0000, 0000, 0f45)	[00000000 : 00000000 : 440f0000]	Reg: 
0x0F45	sub_401000(0f44, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F48	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000009
0x0F4B	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F4E	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFF7
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000009
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F0A	sub_401000(0009, 0000, 0000)	[6f000000 : 00000000 : 00000000]	Reg: FFFFFF91
0x0F0D	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000006F
0x0F10	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F13	sub_401000(0efa, 0000, 0f19)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF91
0x0F19	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F1C	sub_401000(0000, 0efa, 0f22)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F1F	sub_401000(0000, 0000, 0f25)	[00000000 : 00000000 : 02000000]	Reg: 
0x0F25	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F28	sub_401000(0efa, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF91
0x0F2B	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000006F
0x0F2E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F31	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F34	sub_401000(0f40, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F37	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000001
PRINTF
0x0F3A	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F3D	sub_401000(0000, 0000, 0f41)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F41	sub_401000(0000, 0000, 0f45)	[00000000 : 00000000 : 440f0000]	Reg: 
0x0F45	sub_401000(0f44, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F48	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000000A
0x0F4B	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F4E	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFF6
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000000A
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F0A	sub_401000(000a, 0000, 0000)	[6d000000 : 00000000 : 00000000]	Reg: FFFFFF93
0x0F0D	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000006D
0x0F10	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F13	sub_401000(0efa, 0000, 0f19)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF93
0x0F19	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F1C	sub_401000(0000, 0efa, 0f22)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F1F	sub_401000(0000, 0000, 0f25)	[00000000 : 00000000 : 02000000]	Reg: 
0x0F25	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F28	sub_401000(0efa, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF93
0x0F2B	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000006D
0x0F2E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F31	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F34	sub_401000(0f40, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F37	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000001
PRINTF
0x0F3A	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F3D	sub_401000(0000, 0000, 0f41)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F41	sub_401000(0000, 0000, 0f45)	[00000000 : 00000000 : 440f0000]	Reg: 
0x0F45	sub_401000(0f44, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F48	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000000B
0x0F4B	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F4E	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFF5
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000000B
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F0A	sub_401000(000b, 0000, 0000)	[65000000 : 00000000 : 00000000]	Reg: FFFFFF9B
0x0F0D	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000065
0x0F10	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F13	sub_401000(0efa, 0000, 0f19)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF9B
0x0F19	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F1C	sub_401000(0000, 0efa, 0f22)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F1F	sub_401000(0000, 0000, 0f25)	[00000000 : 00000000 : 02000000]	Reg: 
0x0F25	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F28	sub_401000(0efa, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF9B
0x0F2B	sub_401000(0000, 0002, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000065
0x0F2E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F31	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F34	sub_401000(0f40, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F37	sub_401000(0000, 0004, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000001
PRINTF
0x0F3A	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F3D	sub_401000(0000, 0000, 0f41)	[00000000 : 00000000 : 00000000]	Reg: 
0x0F41	sub_401000(0000, 0000, 0f45)	[00000000 : 00000000 : 440f0000]	Reg: 
0x0F45	sub_401000(0f44, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0F48	sub_401000(0000, 0ec1, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000000C
0x0F4B	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F4E	sub_401000(0000, 0000, 0efb)	[00000000 : 00000000 : 0a0f0000]	Reg: 
0x0EFB	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0EFE	sub_401000(0ec1, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFF4
0x0F01	sub_401000(0000, 0f0a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000000C
0x0F04	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F07	sub_401000(0000, 0efa, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0F0A	sub_401000(000c, 0000, 0000)	[20000000 : 00000000 : 00000000]	Reg: FFFFFFE0
